vendor_id,category,category_name,lookup_key,lookup_value,metadata,is_active
1,billing_interval,電費寄送區間,台北市中山區民生東路一段29號12樓12樓之1,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00296709967""}",t
1,billing_interval,電費寄送區間,台北市中正區三元街184號二樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00762550205""}",t
1,billing_interval,電費寄送區間,台北市中正區三元街184號四樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00762550409""}",t
1,billing_interval,電費寄送區間,台北市中正區漢口街1段42號六樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00060642605""}",t
1,billing_interval,電費寄送區間,台北市中華路二段５３號五樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00076106508""}",t
1,billing_interval,電費寄送區間,台北市大同區南京西路340號三樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00138590302""}",t
1,billing_interval,電費寄送區間,台北市大同區南京西路340號二樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00138590200""}",t
1,billing_interval,電費寄送區間,台北市大同區南京西路340號四樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00138590404""}",t
1,billing_interval,電費寄送區間,台北市大同區寧夏路23號之1,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00017214117""}",t
1,billing_interval,電費寄送區間,台北市大同區延平北路258號2-10樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00164304218""}",t
1,billing_interval,電費寄送區間,台北市大同區延平北路2段210巷5號,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00164768106""}",t
1,billing_interval,電費寄送區間,台北市大同區萬全街40巷12號二樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00177967207""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路2段7號四樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00017664407""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路3段137巷25號五樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00242091503""}",t
1,billing_interval,電費寄送區間,台北市大安區師大路86巷1號4樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00817261407""}",t
1,billing_interval,電費寄送區間,台北市文山區木新路3段345號2樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""01675034206""}",t
1,billing_interval,電費寄送區間,台北市文山區木新路3段345號3樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""01675034308""}",t
1,billing_interval,電費寄送區間,台北市松山區民生東路五段138巷3號4樓之7,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00302282409""}",t
1,billing_interval,電費寄送區間,台北市萬華區西園路二段283號四樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""00694600404""}",t
1,billing_interval,電費寄送區間,新北市三重區仁義街167巷45之1號四樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""05241048421""}",t
1,billing_interval,電費寄送區間,新北市三重區仁義街269號,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""05293047010""}",t
1,billing_interval,電費寄送區間,新北市三重區仁義街269號三樓,單月,"{""note"": ""您的電費帳單將於每【單月】寄送。"", ""electric_number"": ""05293047305""}",t
